phid,name,division,state,party,ceased_date,house
QK6,Bob Sercombe,Maribyrnong,Vic,ALP,2007-10-17,reps
RI4,Geoff Prosser,Forrest,WA,LIB,2007-10-17,reps
SD4,Alan Cadman,Mitchell,NSW,LIB,2007-10-17,reps
XS4,Carmen Lawrence,Fremantle,WA,ALP,2007-10-17,reps
5F4,Paul Calvert,,Tas,LIB,2007-08-29,senate
H15,Ian Campbell,,WA,LIB,2007-05-31,senate
7E4,Amanda Vanstone,,SA,LIB,2007-04-26,senate
BOT,Santo Santoro,,Qld,LIB,2007-04-11,senate
5L6,Jeannie Ferris,,SA,LIB,2007-04-02,senate
BH4,Robert Hill,,SA,LIB,2006-03-15,senate
9L6,Sue Mackay,,Tas,ALP,2005-07-29,senate
009D2,Geoffrey Buckland,,SA,ALP,2005-06-30,senate
00A9C,John Cherry,,Qld,AD ,2005-06-30,senate
6H4,Brian Harradine,,Tas,TISBHG,2005-06-30,senate
86X,Brian Greig,,WA,AD ,2005-06-30,senate
86Y,Tsebin Tchen,,Vic,LIB,2005-06-30,senate
8G6,Aden Ridgeway,,NSW,AD ,2005-06-30,senate
8HC,Len Harris,,Qld,PHON,2005-06-30,senate
8U4,Meg Lees,,SA,APA ,2005-06-30,senate
FX5,Shayne Murphy,,Tas,IND,2005-06-30,senate
FY5,Kay Denman,,Tas,ALP,2005-06-30,senate
RF4,Peter Cook,,WA,ALP,2005-06-30,senate
TH4,Susan Knowles,,WA,LIB,2005-06-30,senate
XE4,Nick Bolkus,,SA,ALP,2005-06-30,senate
O15,John Tierney,,NSW,LIB,2005-04-14,senate
K26,Mark Latham,Werriwa,NSW,ALP,2005-01-21,reps
00AMQ,Peter King,Wentworth,NSW,IND,2004-10-09,reps
3K6,Ross Cameron,Parramatta,NSW,LIB,2004-10-09,reps
6J4,Concetto Sciacca,Bowman,Qld,ALP,2004-10-09,reps
83C,Jann Mcfarlane,Stirling,WA,ALP,2004-10-09,reps
83U,David Cox,Kingston,SA,ALP,2004-10-09,reps
84H,Christian Zahra,McMillan,Vic,ALP,2004-10-09,reps
84S,Michelle O'byrne,Bass,Tas,ALP,2004-10-09,reps
8V5,Trish Worth,Adelaide,SA,LIB,2004-10-09,reps
BNL,Michael Organ,Cunningham,NSW,GRN,2004-10-09,reps
N36,Martyn Evans,Bonython,SA,ALP,2004-10-09,reps
XJ6,Larry Anthony,Richmond,NSW,NP ,2004-10-09,reps
4I4,Leo Mcleay,Watson,NSW,ALP,2004-08-31,reps
5T4,Laurie Brereton,Kingsford Smith,NSW,ALP,2004-08-31,reps
7T4,Janice Crosio,Prospect,NSW,ALP,2004-08-31,reps
7V5,Daryl Williams,Tangney,WA,LIB,2004-08-31,reps
BT4,David Kemp,Goldstein,Vic,LIB,2004-08-31,reps
CU4,Christine Gallus,Hindmarsh,SA,LIB,2004-08-31,reps
HE4,Neil Andrew,Wakefield,SA,LIB,2004-08-31,reps
MK6,Frank Mossfield,Greenway,NSW,ALP,2004-08-31,reps
OT4,Bob Charles,La Trobe,Vic,LIB,2004-08-31,reps
LD4,Richard Alston,,Vic,LIB,2004-02-10,senate
VI4,Margaret Reid,,ACT,LIB,2003-02-14,senate
VW4,John Herron,,Qld,LIB,2002-09-05,senate
8I4,Stephen Martin,Cunningham,NSW,ALP,2002-08-16,reps
1I4,Jim Mckiernan,,WA,ALP,2002-06-30,senate
1X4,Sue West,,NSW,ALP,2002-06-30,senate
4J4,Chris Schacht,,SA,ALP,2002-06-30,senate
6L6,Brenda Gibbs,,Qld,ALP,2002-06-30,senate
SF4,Barney Cooney,,Vic,ALP,2002-06-30,senate
TW4,Vicki Bourne,,NSW,AD ,2002-06-30,senate
UW4,Arthur Crane,,WA,LIB,2002-06-30,senate
ZF4,Rosemary Crowley,,SA,ALP,2002-06-30,senate
BX5,Brian Gibson,,Tas,LIB,2002-02-22,senate
BE4,Jocelyn Newman,,Tas,LIB,2002-02-01,senate
83W,Jane Gerick,Canning,WA,ALP,2001-11-10,reps
84B,Stuart St Clair,New England,NSW,NPA,2001-11-10,reps
9V8,Leonie Short,Ryan,Qld,ALP,2001-11-10,reps
MG4,Michael Lee,Dobell,NSW,ALP,2001-11-10,reps
QJ4,Andrew Theophanous,Calwell,Vic,IND,2001-11-10,reps
UU5,Bob Horne,Paterson,NSW,ALP,2001-11-10,reps
XW4,Cheryl Kernot,,Qld,ALP,2001-11-10,senate
6E4,Grant Tambling,,NT,NPA,2001-11-09,senate
3E4,Kathy Sullivan,,Qld,LIB,2001-10-08,senate
834,Tony Lawler,Parkes,NSW,NPA,2001-10-08,reps
8E4,Michael Wooldridge,Casey,Vic,LIB,2001-10-08,reps
AE4,Garry Nehl,Cowper,NSW,NPA,2001-10-08,reps
CE4,Neil O'keefe,Burke,Vic,ALP,2001-10-08,reps
DG4,Tim Fischer,Farrer,NSW,NPA,2001-10-08,reps
DH4,Colin Hollis,Throsby,NSW,ALP,2001-10-08,reps
FB6,Andrew Thomson,Wentworth,NSW,LIB,2001-10-08,reps
FI4,Allan Morris,Newcastle,NSW,ALP,2001-10-08,reps
HQ5,John Fahey,Macarthur,NSW,LIB,2001-10-08,reps
WI4,Peter Reith,Flinders,Vic,LIB,2001-10-08,reps
XU5,Lou Lieberman,Indi,Vic,LIB,2001-10-08,reps
HX5,John Woodley,,Qld,AD ,2001-07-27,senate
UT4,Peter Nugent,Aston,Vic,LIB,2001-04-24,reps
EI4,John Moore,Ryan,Qld,LIB,2001-02-05,reps
ZS6,John Quirke,,SA,ALP,2000-08-15,senate
YK6,Gregory Wilton,Isaacs,Vic,ALP,2000-06-14,reps
RD4,David Brownhill,,NSW,NPA,2000-04-14,senate
KI4,Warwick Parer,,Qld,LIB,2000-02-11,senate
VD4,Gareth Evans,,Vic,ALP,1999-09-30,senate
DX5,Dee Margetts,,WA,GRN,1999-06-30,senate
EU4,Bill O'chee,,Qld,NPA,1999-06-30,senate
FQ6,Karen Synon,,Vic,LIB,1999-06-30,senate
PF4,Mal Colston,,Qld,IND,1999-06-30,senate
XI4,Margaret Reynolds,,Qld,ALP,1999-06-30,senate
YH4,David Macgibbon,,Qld,LIB,1999-06-30,senate
3V5,Richard Evans,Cowan,WA,LIB,1998-10-03,reps
5M6,Nick Dondas,Northern Territory,NT,LIB,1998-10-03,reps
6V5,Eoin Cameron,Stirling,WA,LIB,1998-10-03,reps
BI4,Christopher Miles,Braddon,Tas,LIB,1998-10-03,reps
CF4,Graeme Campbell,Kalgoorlie,WA,IND,1998-10-03,reps
EK6,Susan Jeanes,Kingston,SA,LIB,1998-10-03,reps
GJ4,Warwick Smith,Bass,Tas,LIB,1998-10-03,reps
KK6,Graeme Mcdougall,Griffith,Qld,LIB,1998-10-03,reps
LK6,Paul Marek,Capricornia,Qld,NPA,1998-10-03,reps
ML6,Elizabeth Grace,Lilley,Qld,LIB,1998-10-03,reps
NL6,Ricky Johnston,Canning,WA,LIB,1998-10-03,reps
QT4,Paul Filing,Moore,WA,IND,1998-10-03,reps
SK6,Tony Smith,Dickson,Qld,IND,1998-10-03,reps
XK6,Andrea West,Bowman,Qld,LIB,1998-10-03,reps
ZI4,Allan Rocher,,WA,IND,1998-10-03,senate
ZK6,Paul Zammit,Lowe,NSW,IND,1998-10-03,reps
3H4,Robert Halverson,Casey,Vic,LIB,1998-08-31,reps
5A5,Bob Brown,Charlton,NSW,ALP,1998-08-31,reps
5E4,Ian Sinclair,New England,NSW,NPA,1998-08-31,reps
AH4,Noel Hicks,Riverina,NSW,NPA,1998-08-31,reps
AJ4,John Sharp,Hume,NSW,NPA,1998-08-31,reps
CH4,Clyde Holding,Melbourne Ports,Vic,ALP,1998-08-31,reps
FT4,John Bradford,McPherson,Qld,CDP ,1998-08-31,reps
HI4,Peter Morris,Shortland,NSW,ALP,1998-08-31,reps
HT4,Ian Mclachlan,Barker,SA,LIB,1998-08-31,reps
KH4,Barry Jones,Lalor,Vic,ALP,1998-08-31,reps
KP6,Steven Dargavel,Fraser,ACT,ALP,1998-08-31,reps
MD4,Peter Baldwin,Sydney,NSW,ALP,1998-08-31,reps
MF4,Michael Cobb,Parkes,NSW,NPA,1998-08-31,reps
NK6,Stephen Mutch,Cook,NSW,LIB,1998-08-31,reps
OJ4,Bill Taylor,Groom,Qld,LIB,1998-08-31,reps
QE4,David Beddall,Rankin,Qld,ALP,1998-08-31,reps
VT4,Nicholas Reid,Bendigo,Vic,LIB,1998-08-31,reps
ZG4,Edward Grace,Fowler,NSW,ALP,1998-08-31,reps
ZJ4,Ralph Willis,Gellibrand,Vic,ALP,1998-08-31,reps
OF4,Bob Collins,,NT,ALP,1998-03-30,senate
GG4,Dominic Foreman,,SA,ALP,1997-09-15,senate
IF4,Bruce Childs,,NSW,ALP,1997-09-10,senate
DJ4,Jim Short,,Vic,LIB,1997-05-12,senate
